;office_name;county_id;candidate_name;party_affiliation;num_precincts_reporting;total_num_precincts_voting;candidate_votes;candidate_percent_vote
82;COUNTY ATTORNEY;3;WRITE-IN (TOTAL);WI;46;46;152;1.31
83;COUNTY CORONER;3;KNUTE E. THORSGARD MD;NP;46;46;11531;99.46
84;COUNTY CORONER;3;WRITE-IN (TOTAL);WI;46;46;63;0.54
85;COUNTY SURVEYOR;3;ROY A. SMITH;NP;46;46;6883;57.85
86;COUNTY SURVEYOR;3;GLENN HOWE;NP;46;46;4994;41.97
87;COUNTY SURVEYOR;3;WRITE-IN (TOTAL);WI;46;46;22;0.18
88;SOIL AND WATER SUPERVISOR DISTRICT 1;3;JEROME (JERRY) FLOTTEMESCH;NP;46;46;10584;99.49
89;SOIL AND WATER SUPERVISOR DISTRICT 1;3;WRITE-IN (TOTAL);WI;46;46;54;0.51
90;SOIL AND WATER SUPERVISOR DISTRICT 4;3;DON LEFEBVRE;NP;46;46;10637;99.68
91;SOIL AND WATER SUPERVISOR DISTRICT 4;3;WRITE-IN (TOTAL);WI;46;46;34;0.32
92;COUNTY COMMISSIONER DISTRICT 1;4;AUDREY M THAYER;NP;62;62;1455;46.41
93;COUNTY COMMISSIONER DISTRICT 1;4;JACK R  FROST;NP;62;62;1672;53.33
94;COUNTY COMMISSIONER DISTRICT 1;4;WRITE-IN (TOTAL);WI;62;62;8;0.26
95;COUNTY COMMISSIONER DISTRICT 2;4;VICKI HAUGEN;NP;62;62;1961;97.47
96;COUNTY COMMISSIONER DISTRICT 2;4;WRITE-IN (TOTAL);WI;62;62;51;2.53
97;COUNTY COMMISSIONER DISTRICT 3;4;JIM HELTZER;NP;62;62;2539;97.96
98;COUNTY COMMISSIONER DISTRICT 3;4;WRITE-IN (TOTAL);WI;62;62;53;2.04
99;COUNTY COMMISSIONER DISTRICT 5;4;RONALD OTTERSTAD;NP;62;62;2836;98.13
100;COUNTY COMMISSIONER DISTRICT 5;4;WRITE-IN (TOTAL);WI;62;62;54;1.87
101;COUNTY AUDITOR/TREASURER;4;KAY L MACK;NP;62;62;12854;99.23
102;COUNTY AUDITOR/TREASURER;4;WRITE-IN (TOTAL);WI;62;62;100;0.77
103;COUNTY RECORDER;4;ANN F ALLEN;NP;62;62;12275;99.36
104;COUNTY RECORDER;4;WRITE-IN (TOTAL);WI;62;62;79;0.64
105;COUNTY SHERIFF;4;KEITH H WINGER;NP;62;62;12791;98.95
106;COUNTY SHERIFF;4;WRITE-IN (TOTAL);WI;62;62;136;1.05
107;COUNTY ATTORNEY;4;TIMOTHY FAVER;NP;62;62;12246;98.77
108;COUNTY ATTORNEY;4;WRITE-IN (TOTAL);WI;62;62;153;1.23
109;SOIL AND WATER SUPERVISOR DISTRICT 1;4;WES FRENZEL;NP;62;62;11962;99.49
110;SOIL AND WATER SUPERVISOR DISTRICT 1;4;WRITE-IN (TOTAL);WI;62;62;61;0.51
111;SOIL AND WATER SUPERVISOR DISTRICT 2;4;WRITE-IN (TOTAL);WI;62;62;730;100
112;SOIL AND WATER SUPERVISOR DISTRICT 3;4;LLOYD D WISETH;NP;62;62;84;100
113;SOIL AND WATER SUPERVISOR DISTRICT 3;4;WRITE-IN (TOTAL);WI;62;62;0;0
114;SOIL AND WATER SUPERVISOR DISTRICT 5;4;WALLACE BYKLUM;NP;62;62;94;100
115;SOIL AND WATER SUPERVISOR DISTRICT 5;4;WRITE-IN (TOTAL);WI;62;62;0;0
116;COUNTY COMMISSIONER DISTRICT 2;5;DANIEL "DAN" LIESER;NP;29;30;1523;53.51
117;COUNTY COMMISSIONER DISTRICT 2;5;ELWOOD "WOODY"  ANDERSON;NP;29;30;1318;46.31
118;COUNTY COMMISSIONER DISTRICT 2;5;WRITE-IN (TOTAL);WI;29;30;5;0.18
119;COUNTY COMMISSIONER DISTRICT 3;5;DUANE GRANDY;NP;29;30;2291;98.58
120;COUNTY COMMISSIONER DISTRICT 3;5;WRITE-IN (TOTAL);WI;29;30;33;1.42
121;COUNTY AUDITOR/TREASURER;5;CURTIS NORDLING;NP;29;30;4094;33.02
122;COUNTY AUDITOR/TREASURER;5;JOAN NEYSSEN;NP;29;30;8294;66.89
123;COUNTY AUDITOR/TREASURER;5;WRITE-IN (TOTAL);WI;29;30;12;0.1
124;COUNTY RECORDER;5;MARILYN J NOVAK;NP;29;30;7519;64.01
125;COUNTY RECORDER;5;JOAN (NOVAK) PAGGEN;NP;29;30;4205;35.8
126;COUNTY RECORDER;5;WRITE-IN (TOTAL);WI;29;30;22;0.19
127;COUNTY SHERIFF;5;JIM MCMAHON;NP;29;30;11648;98.96
128;COUNTY SHERIFF;5;WRITE-IN (TOTAL);WI;29;30;122;1.04
129;COUNTY ATTORNEY;5;ROBERT RAUPP;NP;29;30;11069;99.51
130;COUNTY ATTORNEY;5;WRITE-IN (TOTAL);WI;29;30;54;0.49
131;COUNTY CORONER;5;CLIFFORD STILES  MD;NP;29;30;11239;99.39
132;COUNTY CORONER;5;WRITE-IN (TOTAL);WI;29;30;69;0.61
133;SOIL AND WATER SUPERVISOR DISTRICT 1;5;DUANE A TADYCH;NP;29;30;11019;99.76
134;SOIL AND WATER SUPERVISOR DISTRICT 1;5;WRITE-IN (TOTAL);WI;29;30;26;0.24
135;SOIL AND WATER SUPERVISOR DISTRICT 2;5;JOSEPH G JORDAN;NP;29;30;10931;99.77
136;SOIL AND WATER SUPERVISOR DISTRICT 2;5;WRITE-IN (TOTAL);WI;29;30;25;0.23
137;SOIL AND WATER SUPERVISOR DISTRICT 3;5;LORIS M  VAN HOOSER;NP;29;30;10929;99.75
138;SOIL AND WATER SUPERVISOR DISTRICT 3;5;WRITE-IN (TOTAL);WI;29;30;27;0.25
139;COUNTY COMMISSIONER DISTRICT 1;6;RICHARD LANE;NP;23;23;363;95.28
140;COUNTY COMMISSIONER DISTRICT 1;6;WRITE-IN (TOTAL);WI;23;23;18;4.72
141;COUNTY COMMISSIONER DISTRICT 2;6;WADE ATHEY;NP;23;23;314;52.6
142;COUNTY COMMISSIONER DISTRICT 2;6;JEANNE KRUEGER;NP;23;23;282;47.24
143;COUNTY COMMISSIONER DISTRICT 2;6;WRITE-IN (TOTAL);WI;23;23;1;0.17
144;COUNTY COMMISSIONER DISTRICT 4;6;BRUCE SWIGERD;NP;23;23;563;99.65
145;COUNTY COMMISSIONER DISTRICT 4;6;WRITE-IN (TOTAL);WI;23;23;2;0.35
146;COUNTY AUDITOR;6;MICHELLE R. KNUTSON;NP;23;23;2450;99.39
147;COUNTY AUDITOR;6;WRITE-IN (TOTAL);WI;23;23;15;0.61
148;COUNTY TREASURER;6;CINDY NELSON;NP;23;23;2513;99.96
149;COUNTY TREASURER;6;WRITE-IN (TOTAL);WI;23;23;1;0.04
150;COUNTY RECORDER;6;GLORIA ARNDT;NP;23;23;2473;99.84
151;COUNTY RECORDER;6;WRITE-IN (TOTAL);WI;23;23;4;0.16
152;COUNTY SHERIFF;6;JOSEPH J. BERNING, JR.;NP;23;23;2511;99.45
153;COUNTY SHERIFF;6;WRITE-IN (TOTAL);WI;23;23;14;0.55
154;COUNTY ATTORNEY;6;BILL WATSON;NP;23;23;2388;99.13
155;COUNTY ATTORNEY;6;WRITE-IN (TOTAL);WI;23;23;21;0.87
156;SOIL AND WATER SUPERVISOR DISTRICT 1;6;WRITE-IN (TOTAL);WI;23;23;44;100
157;SOIL AND WATER SUPERVISOR DISTRICT 5;6;WRITE-IN (TOTAL);WI;23;23;35;100
158;COUNTY COMMISSIONER DISTRICT 1;7;COLLEEN LANDKAMER;NP;53;54;3128;98.24
159;COUNTY COMMISSIONER DISTRICT 1;7;WRITE-IN (TOTAL);WI;53;54;56;1.76
160;COUNTY COMMISSIONER DISTRICT 2;7;TOM MCLAUGHLIN;NP;53;54;3834;98.99
161;COUNTY COMMISSIONER DISTRICT 2;7;WRITE-IN (TOTAL);WI;53;54;39;1.01
162;COUNTY COMMISSIONER DISTRICT 3;7;ANDREW JOHNSON;NP;53;54;2030;46.69
163;COUNTY COMMISSIONER DISTRICT 3;7;KATY WORTEL;NP;53;54;2302;52.94
164;COUNTY COMMISSIONER DISTRICT 3;7;WRITE-IN (TOTAL);WI;53;54;16;0.37
165;COUNTY COMMISSIONER DISTRICT 4;7;E. WILLIAM (BILL) JAMES;NP;53;54;2327;49.04
166;COUNTY COMMISSIONER DISTRICT 4;7;AL BENNETT;NP;53;54;2409;50.77
167;COUNTY COMMISSIONER DISTRICT 4;7;WRITE-IN (TOTAL);WI;53;54;9;0.19
168;COUNTY COMMISSIONER DISTRICT 5;7;KIP BRUENDER;NP;53;54;2619;52.92
169;COUNTY COMMISSIONER DISTRICT 5;7;ALVIS  MORE;NP;53;54;2326;47
170;COUNTY COMMISSIONER DISTRICT 5;7;WRITE-IN (TOTAL);WI;53;54;4;0.08
171;COUNTY SHERIFF;7;BRAD PETERSON;NP;53;54;20582;98.55
172;COUNTY SHERIFF;7;WRITE-IN (TOTAL);WI;53;54;303;1.45
173;COUNTY ATTORNEY;7;ROSS E.  ARNESON;NP;53;54;20062;99.23
174;COUNTY ATTORNEY;7;WRITE-IN (TOTAL);WI;53;54;155;0.77
175;SOIL AND WATER SUPERVISOR DISTRICT 4;7;JOHN  V. ROLLINGS;NP;53;54;19780;99.35
176;SOIL AND WATER SUPERVISOR DISTRICT 4;7;WRITE-IN (TOTAL);WI;53;54;129;0.65
177;SOIL AND WATER SUPERVISOR DISTRICT 5;7;BILL GARDNER  JR;NP;53;54;19621;98.95
178;SOIL AND WATER SUPERVISOR DISTRICT 5;7;WRITE-IN (TOTAL);WI;53;54;208;1.05
179;COUNTY COMMISSIONER DISTRICT 2;8;JAMES BERG;NP;32;32;2195;100
180;COUNTY COMMISSIONER DISTRICT 2;8;WRITE-IN (TOTAL);WI;32;32;0;0
181;COUNTY COMMISSIONER DISTRICT 4;8;ANDREW LOCHNER;NP;32;32;1448;72.22
182;COUNTY COMMISSIONER DISTRICT 4;8;CHARLES KOTTEN;NP;32;32;557;27.78
183;COUNTY COMMISSIONER DISTRICT 4;8;WRITE-IN (TOTAL);WI;32;32;0;0
184;COUNTY COMMISSIONER DISTRICT 5;8;DONALD WELLNER;NP;32;32;1974;100
185;COUNTY COMMISSIONER DISTRICT 5;8;WRITE-IN (TOTAL);WI;32;32;0;0
186;COUNTY AUDITOR/TREASURER;8;MARLIN 'MANDY' HELGET;NP;32;32;10305;100
187;COUNTY AUDITOR/TREASURER;8;WRITE-IN (TOTAL);WI;32;32;0;0
188;COUNTY RECORDER;8;TOM WEILAGE;NP;32;32;9985;100
189;COUNTY RECORDER;8;WRITE-IN (TOTAL);WI;32;32;0;0
190;COUNTY SHERIFF;8;TIMOTHY JAMES BRENNAN;NP;32;32;10049;99.41
191;COUNTY SHERIFF;8;WRITE-IN (TOTAL);WI;32;32;60;0.59
192;COUNTY ATTORNEY;8;JAMES R. OLSON;NP;32;32;9923;100
193;COUNTY ATTORNEY;8;WRITE-IN (TOTAL);WI;32;32;0;0
194;SOIL AND WATER SUPERVISOR DISTRICT 3;8;GREGORY J ROIGER;NP;32;32;9734;100
195;SOIL AND WATER SUPERVISOR DISTRICT 3;8;WRITE-IN (TOTAL);WI;32;32;0;0
196;SOIL AND WATER SUPERVISOR DISTRICT 4;8;JEROME GRAFF;NP;32;32;4335;45.66
197;SOIL AND WATER SUPERVISOR DISTRICT 4;8;JACK VOGEL;NP;32;32;5159;54.34
198;SOIL AND WATER SUPERVISOR DISTRICT 4;8;WRITE-IN (TOTAL);WI;32;32;0;0
199;SOIL AND WATER SUPERVISOR DISTRICT 5;8;KERRY A. HOFFMAN;NP;32;32;4734;47.32
200;SOIL AND WATER SUPERVISOR DISTRICT 5;8;RALPH H. STADICK;NP;32;32;5270;52.68
201;SOIL AND WATER SUPERVISOR DISTRICT 5;8;WRITE-IN (TOTAL);WI;32;32;0;0
202;COUNTY COMMISSIONER DISTRICT 2;9;PAUL VERNON;NP;39;39;1000;33.26
203;COUNTY COMMISSIONER DISTRICT 2;9;FRANK LIUPAKKA;NP;39;39;1987;66.08
204;COUNTY COMMISSIONER DISTRICT 2;9;WRITE-IN (TOTAL);WI;39;39;20;0.67
205;COUNTY COMMISSIONER DISTRICT 4;9;GORDON V. AANERUD;NP;39;39;2981;98.74
206;COUNTY COMMISSIONER DISTRICT 4;9;WRITE-IN (TOTAL);WI;39;39;38;1.26
207;COUNTY AUDITOR/TREASURER;9;PAUL G. GASSERT;NP;39;39;12938;99.61
208;COUNTY AUDITOR/TREASURER;9;WRITE-IN (TOTAL);WI;39;39;51;0.39
209;COUNTY SHERIFF;9;KEVIN MANGAN;NP;39;39;12493;99.12
210;COUNTY SHERIFF;9;WRITE-IN (TOTAL);WI;39;39;111;0.88
211;COUNTY ATTORNEY;9;MARVIN E. KETOLA;NP;39;39;12606;99.18
212;COUNTY ATTORNEY;9;WRITE-IN (TOTAL);WI;39;39;104;0.82
213;COUNTY CORONER;9;RICARD R. PUUMALA;NP;39;39;12670;99.47
214;COUNTY CORONER;9;WRITE-IN (TOTAL);WI;39;39;68;0.53
215;SOIL AND WATER SUPERVISOR DISTRICT 2;9;BURTON LAINE;NP;39;39;12332;99.65
216;SOIL AND WATER SUPERVISOR DISTRICT 2;9;WRITE-IN (TOTAL);WI;39;39;43;0.35
217;SOIL AND WATER SUPERVISOR DISTRICT 3;9;H. MERRILL LOY;NP;39;39;12135;99.61
218;SOIL AND WATER SUPERVISOR DISTRICT 3;9;WRITE-IN (TOTAL);WI;39;39;48;0.39
219;COUNTY COMMISSIONER DISTRICT 1;10;JIM MAIN;NP;33;33;2200;40
220;COUNTY COMMISSIONER DISTRICT 1;10;GAYLE DEGLER;NP;33;33;3278;59.6
221;COUNTY COMMISSIONER DISTRICT 1;10;WRITE-IN (TOTAL);WI;33;33;22;0.4
222;COUNTY COMMISSIONER DISTRICT 2;10;CLARK HORN;NP;33;33;1423;21.47
223;COUNTY COMMISSIONER DISTRICT 2;10;TOM WORKMAN;NP;33;33;5185;78.24
224;COUNTY COMMISSIONER DISTRICT 2;10;WRITE-IN (TOTAL);WI;33;33;19;0.29
225;COUNTY COMMISSIONER DISTRICT 3;10;GARY M. DELANEY;NP;33;33;3113;50.65
226;COUNTY COMMISSIONER DISTRICT 3;10;JOHN SIEGFRIED;NP;33;33;3015;49.06
227;COUNTY COMMISSIONER DISTRICT 3;10;WRITE-IN (TOTAL);WI;33;33;18;0.29
228;COUNTY COMMISSIONER DISTRICT 5;10;JAMES (JIM) ISCHE;NP;33;33;3783;64.89
229;COUNTY COMMISSIONER DISTRICT 5;10;JIM KUHL;NP;33;33;2033;34.87
230;COUNTY COMMISSIONER DISTRICT 5;10;WRITE-IN (TOTAL);WI;33;33;14;0.24
231;COUNTY AUDITOR;10;MARK LUNDGREN;NP;33;33;19834;68.81
232;COUNTY AUDITOR;10;SHEILA MCSHERRY;NP;33;33;8935;31
233;COUNTY AUDITOR;10;WRITE-IN (TOTAL);WI;33;33;54;0.19
234;COUNTY TREASURER;10;TOM KERBER;NP;33;33;16098;56.03
235;COUNTY TREASURER;10;RANDAL C. EIDEN;NP;33;33;12578;43.78
236;COUNTY TREASURER;10;WRITE-IN (TOTAL);WI;33;33;53;0.18
237;COUNTY RECORDER;10;CARL W. (KELLY) HANSON JR.;NP;33;33;25845;99.54
238;COUNTY RECORDER;10;WRITE-IN (TOTAL);WI;33;33;120;0.46
239;COUNTY SHERIFF;10;DEREK LEE;NP;33;33;13649;43.4
240;COUNTY SHERIFF;10;BYRON "BUD" OLSON;NP;33;33;17748;56.43
241;COUNTY SHERIFF;10;WRITE-IN (TOTAL);WI;33;33;53;0.17
242;COUNTY ATTORNEY;10;MIKE FAHEY;NP;33;33;27104;99.41
243;COUNTY ATTORNEY;10;WRITE-IN (TOTAL);WI;33;33;161;0.59
244;SOIL AND WATER SUPERVISOR DISTRICT 4;10;MARK ZABEL;NP;33;33;14362;58.94
245;SOIL AND WATER SUPERVISOR DISTRICT 4;10;FRANK SIMON;NP;33;33;9914;40.69
246;SOIL AND WATER SUPERVISOR DISTRICT 4;10;WRITE-IN (TOTAL);WI;33;33;91;0.37
247;SOIL AND WATER SUPERVISOR DISTRICT 5;10;ROBERT BURANDT;NP;33;33;24186;99.53
248;SOIL AND WATER SUPERVISOR DISTRICT 5;10;WRITE-IN (TOTAL);WI;33;33;115;0.47
249;COUNTY COMMISSIONER DISTRICT 1;11;JIM DEMGEN;NP;72;72;2292;98.07
250;COUNTY COMMISSIONER DISTRICT 1;11;WRITE-IN (TOTAL);WI;72;72;45;1.93
251;COUNTY COMMISSIONER DISTRICT 2;11;JOHN STRANNE;NP;72;72;1063;46.66
252;COUNTY COMMISSIONER DISTRICT 2;11;ROBERT "BOB" KANGAS;NP;72;72;1206;52.94
253;COUNTY COMMISSIONER DISTRICT 2;11;WRITE-IN (TOTAL);WI;72;72;9;0.4
254;COUNTY COMMISSIONER DISTRICT 3;11;RUSTY LILYQUIST;NP;72;72;1377;50.51
255;COUNTY COMMISSIONER DISTRICT 3;11;TED MELLBY;NP;72;72;1332;48.86
256;COUNTY COMMISSIONER DISTRICT 3;11;WRITE-IN (TOTAL);WI;72;72;17;0.62
257;COUNTY COMMISSIONER DISTRICT 4;11;JIM DOWSON;NP;72;72;2262;98.82
258;COUNTY COMMISSIONER DISTRICT 4;11;WRITE-IN (TOTAL);WI;72;72;27;1.18
259;COUNTY COMMISSIONER DISTRICT 5;11;VIRGIL F FOSTER;NP;72;72;786;46.26
260;COUNTY COMMISSIONER DISTRICT 5;11;DICK DOWNHAM;NP;72;72;905;53.27
261;COUNTY COMMISSIONER DISTRICT 5;11;WRITE-IN (TOTAL);WI;72;72;8;0.47
262;COUNTY AUDITOR/TREASURER;11;SHARON K ANDERSON;NP;72;72;10616;99.46
263;COUNTY AUDITOR/TREASURER;11;WRITE-IN (TOTAL);WI;72;72;58;0.54
264;COUNTY RECORDER;11;KATHRYN "KATIE" M NORBY;NP;72;72;10165;99.67
265;COUNTY RECORDER;11;WRITE-IN (TOTAL);WI;72;72;34;0.33
266;COUNTY SHERIFF;11;RANDY FISHER;NP;72;72;9702;83.82
267;COUNTY SHERIFF;11;MAX LOEWE;NP;72;72;1846;15.95
268;COUNTY SHERIFF;11;WRITE-IN (TOTAL);WI;72;72;27;0.23
269;COUNTY ATTORNEY;11;EARL E MAUS;NP;72;72;10042;99.23
270;COUNTY ATTORNEY;11;WRITE-IN (TOTAL);WI;72;72;78;0.77
271;SOIL AND WATER SUPERVISOR DISTRICT 1;11;TOM KUSCHEL;NP;72;72;9907;99.57
272;SOIL AND WATER SUPERVISOR DISTRICT 1;11;WRITE-IN (TOTAL);WI;72;72;43;0.43
273;SOIL AND WATER SUPERVISOR DISTRICT 5;11;HAROLD D BRUNS;NP;72;72;9828;99.58
274;SOIL AND WATER SUPERVISOR DISTRICT 5;11;WRITE-IN (TOTAL);WI;72;72;41;0.42
275;COUNTY COMMISSIONER DISTRICT 1;12;WAYNE SKOGRAND;NP;23;23;475;40.6
276;COUNTY COMMISSIONER DISTRICT 1;12;KENNETH F. KOENEN;NP;23;23;691;59.06
277;COUNTY COMMISSIONER DISTRICT 1;12;WRITE-IN (TOTAL);WI;23;23;4;0.34
278;COUNTY COMMISSIONER DISTRICT 2;12;MARLYN ANDRESEN;NP;23;23;556;42.84
279;COUNTY COMMISSIONER DISTRICT 2;12;JEFFREY P. LOPEZ;NP;23;23;738;56.86
280;COUNTY COMMISSIONER DISTRICT 2;12;WRITE-IN (TOTAL);WI;23;23;4;0.31
281;COUNTY COMMISSIONER DISTRICT 3;12;MARK DAHL;NP;23;23;497;45.02
282;COUNTY COMMISSIONER DISTRICT 3;12;DONNA L. HALVORSON;NP;23;23;607;54.98
